fecha_reg, id_sonda, fecha, hora, download, upload, latencia, perdida, jitter, estado
2019-07-01 12:00:02, 100001, 01072019, 1200, 6796256.4264, 969755.4784, 24.508, 0, .7128, 1
2019-07-01 12:20:02, 100001, 01072019, 1220, 6788826.9261, 970013.5288, 23.620, 0, .8411, 1
2019-07-01 12:40:02, 100001, 01072019, 1240, 6795959.7547, 970659.1607, 23.427, 0, .7330, 1
2019-07-01 13:00:01, 100001, 01072019, 1300, 6787013.3701, 970777.2617, 23.651, 0, .2896, 1
2019-07-01 13:20:01, 100001, 01072019, 1320, 6792314.4882, 970476.9406, 23.506, 0, .2511, 1
2019-07-01 13:40:02, 100001, 01072019, 1340, 6789764.3701, 970783.6789, 24.311, 0, .2192, 1
2019-07-01 14:00:01, 100001, 01072019, 1400, 6785548.3563, 971172.2921, 24.323, 0, .3494, 1
2019-07-01 14:20:02, 100001, 01072019, 1420, 6795140.7328, 970515.3122, 23.705, 0, .3618, 1
2019-07-01 14:40:01, 100001, 01072019, 1440, 6785752.4798, 969903.6054, 23.339, 0, .6634, 1
2019-07-01 15:00:02, 100001, 01072019, 1500, 6782911.7309, 969904.3459, 24.843, 0, .7007, 1
2019-07-01 15:20:02, 100001, 01072019, 1520, 6792750.3099, 969858.3055, 24.173, 0, .5797, 1
2019-07-01 15:40:02, 100001, 01072019, 1540, 6782186.3615, 970550.8457, 24.637, 0, .5229, 1
2019-07-01 16:00:02, 100001, 01072019, 1600, 6783524.2332, 970909.1759, 23.822, 0, .7583, 1
2019-07-01 16:20:01, 100001, 01072019, 1620, 6788608.5100, 971127.5440, 24.134, 0, .2423, 1
2019-07-01 16:40:02, 100001, 01072019, 1640, 6795619.5054, 970957.9016, 23.680, 0, .6559, 1
2019-07-01 17:00:02, 100001, 01072019, 1700, 6783312.3598, 970639.9866, 23.262, 12, .2369, 1
2019-07-01 17:20:02, 100001, 01072019, 1720, 6785299.4444, 971289.2627, 23.521, 0, .7273, 1
2019-07-01 17:40:02, 100001, 01072019, 1740, 6789423.6000, 970245.9143, 24.877, 0, .4485, 1
2019-07-01 18:00:01, 100001, 01072019, 1800, 6783715.6082, 969992.8744, 24.556, 0, 1.5402, 1
2019-07-01 18:20:02, 100001, 01072019, 1820, 6795523.9607, 970107.9648, 24.421, 0, .4169, 1
2019-07-01 18:40:01, 100001, 01072019, 1840, 6789037.3156, 970324.6607, 24.860, 0, .8367, 1
2019-07-01 19:00:01, 100001, 01072019, 1900, 6786536.8702, 970376.3446, 23.854, 0, .5988, 1
2019-07-01 19:20:02, 100001, 01072019, 1920, 6786142.8327, 969931.9492, 24.695, 0, .2711, 1
2019-07-01 19:40:02, 100001, 01072019, 1940, 6791576.6108, 971334.5117, 23.325, 0, .3982, 1
2019-07-01 20:00:01, 100001, 01072019, 2000, 6786151.6934, 970426.7158, 24.485, 0, .3393, 1
2019-07-01 20:20:02, 100001, 01072019, 2020, 6793157.2536, 971263.5554, 23.831, 0, .3358, 1
2019-07-01 20:40:01, 100001, 01072019, 2040, 6794497.8351, 971150.3414, 23.765, 0, .5133, 1
2019-07-01 21:00:02, 100001, 01072019, 2100, 6785325.4065, 970389.6413, 24.913, 0, .7886, 1
2019-07-01 21:20:01, 100001, 01072019, 2120, 6782027.1674, 971060.3374, 24.471, 0, .7746, 1
2019-07-01 21:40:01, 100001, 01072019, 2140, 6784349.7264, 971287.5348, 24.568, 0, .2800, 1
2019-07-01 22:00:01, 100001, 01072019, 2200, 6783501.7413, 970719.2387, 23.179, 0, .2740, 1
2019-07-02 12:00:02, 100001, 02072019, 1200, 6789277.8074, 970123.8587, 23.185, 0, .2265, 1
2019-07-02 12:20:02, 100001, 02072019, 1220, 6795399.9319, 971275.5772, 24.517, 0, .2846, 1
2019-07-02 12:40:02, 100001, 02072019, 1240, 6782454.5686, 970449.7294, 24.885, 0, .4137, 1
2019-07-02 13:00:02, 100001, 02072019, 1300, 6792945.9007, 970215.3698, 23.675, 0, 1.4325, 1
2019-07-02 13:20:02, 100001, 02072019, 1320, 6789756.9192, 971100.3457, 23.430, 0, .7379, 1
2019-07-02 13:40:02, 100001, 02072019, 1340, 6784281.7612, 970072.2929, 23.860, 0, .2194, 1
2019-07-02 14:00:02, 100001, 02072019, 1400, 6793132.8725, 971295.2475, 24.469, 0, .3168, 1
2019-07-02 14:20:01, 100001, 02072019, 1420, 6784748.8604, 971378.9881, 23.716, 0, .2576, 1
2019-07-02 14:40:02, 100001, 02072019, 1440, 6792550.4577, 970701.3765, 23.377, 0, .6681, 1
2019-07-02 15:00:01, 100001, 02072019, 1500, 6782486.2906, 970791.5182, 24.906, 0, .8166, 1
2019-07-02 15:20:02, 100001, 02072019, 1520, 6784381.9185, 970399.7050, 23.860, 0, .2661, 1
2019-07-02 15:40:01, 100001, 02072019, 1540, 6782057.4714, 969794.7896, 24.482, 0, .6914, 1
2019-07-02 16:00:02, 100001, 02072019, 1600, 6791082.4799, 969972.7226, 24.245, 0, .5814, 1
2019-07-02 16:20:02, 100001, 02072019, 1620, 6789069.9467, 970280.3191, 23.632, 0, .6576, 1
2019-07-02 16:40:01, 100001, 02072019, 1640, 6783499.2690, 969793.1796, 24.573, 0, .8644, 1
2019-07-02 17:00:02, 100001, 02072019, 1700, 6784149.4238, 969798.4190, 24.730, 0, .7757, 1
2019-07-02 17:20:01, 100001, 02072019, 1720, 6794773.9678, 970024.9629, 23.525, 0, .8202, 1
2019-07-02 17:40:02, 100001, 02072019, 1740, 6782392.6535, 970537.2817, 23.279, 0, .7949, 1
2019-07-02 18:00:01, 100001, 02072019, 1800, 6790402.4827, 970855.1668, 24.874, 0, .6151, 1
2019-07-02 18:20:02, 100001, 02072019, 1820, 6784478.7413, 970140.9154, 23.878, 0, 1.2596, 1
2019-07-02 18:40:01, 100001, 02072019, 1840, 6782364.3057, 970079.2821, 23.200, 0, .7869, 1
2019-07-02 19:00:02, 100001, 02072019, 1900, 6789019.2933, 970101.9494, 24.296, 0, .4986, 1
2019-07-02 19:20:02, 100001, 02072019, 1920, 6790120.9421, 970843.5594, 23.654, 0, .4324, 1
2019-07-02 19:40:02, 100001, 02072019, 1940, 6796015.7083, 969800.3056, 23.681, 0, .5176, 1
2019-07-02 20:00:02, 100001, 02072019, 2000, 6793784.2721, 970283.3546, 23.337, 0, .8311, 1
2019-07-02 20:20:01, 100001, 02072019, 2020, 6783992.7565, 969727.4700, 24.345, 0, .6127, 1
2019-07-02 20:40:01, 100001, 02072019, 2040, 6785594.3330, 970943.9234, 23.194, 0, .7605, 1
2019-07-02 21:00:02, 100001, 02072019, 2100, 6796060.4697, 970641.4250, 23.423, 0, .5107, 1
2019-07-02 21:20:02, 100001, 02072019, 2120, 6796099.2492, 970362.4621, 24.151, 0, .5616, 1
2019-07-02 21:40:01, 100001, 02072019, 2140, 6786493.8043, 971009.5376, 24.158, 0, .3557, 1
2019-07-02 22:00:01, 100001, 02072019, 2200, 6784406.9241, 971200.8812, 24.577, 0, 1.4824, 1
2019-07-03 12:00:01, 100001, 03072019, 1200, 6792345.3706, 970843.7767, 23.218, 0, .4864, 1
