fecha_reg, id_sonda, fecha, hora, download, upload, latencia, perdida, jitter, estado
2020-01-01 12:00:00, 100001, 01012020, 1200, 6835905.6317, 902856.5269, 12.646, 0, .6683, 1
2020-01-01 12:20:00, 100001, 01012020, 1220, 6767229.6153, 904616.3922, 14.339, 0, .1352, 1
2020-01-01 12:40:00, 100001, 01012020, 1240, 6766773.6156, 904745.5045, 13.284, 0, .8085, 1
2020-01-01 13:00:00, 100001, 01012020, 1300, 6938386.6228, 901595.5023, 12.786, 0, .3349, 1
2020-01-01 13:20:00, 100001, 01012020, 1320, 6864307.6324, 902864.3192, 14.365, 0, .6127, 1
2020-01-01 13:40:00, 100001, 01012020, 1340, 6659815.6351, 907288.5875, 14.619, 0, .2837, 1
2020-01-01 14:00:00, 100001, 01012020, 1400, 6692082.6147, 909042.2030, 13.922, 0, .3470, 1
2020-01-01 14:20:00, 100001, 01012020, 1420, 6832524.6217, 903619.1393, 13.855, 0, .7546, 1
2020-01-01 14:40:00, 100001, 01012020, 1440, 6791989.6229, 905122.2763, 12.877, 0, .7125, 1
2020-01-01 15:00:00, 100001, 01012020, 1500, 6863323.6427, 904965.4838, 12.734, 0, .1542, 1
2020-01-01 15:20:00, 100001, 01012020, 1520, 6766608.6460, 907819.1544, 13.839, 0, .2336, 1
2020-01-01 15:40:00, 100001, 01012020, 1540, 6721801.6225, 906371.1764, 14.617, 0, .4031, 1
2020-01-01 16:00:00, 100001, 01012020, 1600, 6943726.6340, 901881.2175, 13.906, 0, .7580, 1
2020-01-01 16:20:00, 100001, 01012020, 1620, 6661940.6154, 906393.2686, 13.204, 0, .3984, 1
2020-01-01 16:40:00, 100001, 01012020, 1640, 6837956.6374, 903595.5517, 14.487, 0, .5290, 1
2020-01-01 17:00:00, 100001, 01012020, 1700, 6677849.6190, 905412.5699, 14.502, 25, 1.8144, 1
2020-01-01 17:20:00, 100001, 01012020, 1720, 6751270.6182, 903595.2844, 14.219, 0, .6139, 1
2020-01-01 17:40:00, 100001, 01012020, 1740, 6824529.6473, 905078.2513, 12.145, 0, .7937, 1
2020-01-01 18:00:00, 100001, 01012020, 1800, 6716572.6285, 908144.5287, 14.308, 0, .5366, 1
